fecha,descripcion,referencia,valor,saldo
2026-03-05,GMF 4X1000,GMF,-18644.0,343768360.0
2026-03-06,CONSIGNACION DISTRIBUIDORA EL PORTAL LTDA,RC-0057,8943000.0,352711360.0
2026-03-06,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0058,4735000.0,357446360.0
2026-03-09,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0022,-2172000.0,355274360.0
2026-03-09,GMF 4X1000,GMF,-8688.0,355265672.0
2026-03-09,CONSIGNACION COMERCIAL YOPAL SAS,RC-0059,6185000.0,361450672.0
2026-03-10,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0060,8624000.0,370074672.0
2026-03-10,CONSIGNACION COMERCIAL YOPAL SAS,RC-0061,3672000.0,373746672.0
2026-03-11,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0062,4776000.0,378522672.0
2026-03-12,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0063,5473000.0,383995672.0
2026-03-13,CONSIGNACION COMERCIAL YOPAL SAS,RC-0064,8752000.0,392747672.0
2026-03-13,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0065,7664000.0,400411672.0
2026-03-16,PAGO LOGISTICA ANDINA S.A.S.,CE-0023,-2670000.0,397741672.0
2026-03-16,GMF 4X1000,GMF,-10680.0,397730992.0
2026-03-16,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0066,1304000.0,399034992.0
2026-03-18,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0067,1575000.0,400609992.0
2026-03-18,CONSIGNACION COMERCIAL YOPAL SAS,RC-0068,8557000.0,409166992.0
2026-03-19,PAGO ALIMENTOS NACIONALES S.A.,CE-0024,-4187000.0,404979992.0
2026-03-19,GMF 4X1000,GMF,-16748.0,404963244.0
2026-03-19,CONSIGNACION COMERCIAL YOPAL SAS,RC-0069,1891000.0,406854244.0
2026-03-20,PAGO ALIMENTOS NACIONALES S.A.,CE-0025,-4413000.0,402441244.0
2026-03-20,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0034,-880000.0,401561244.0
2026-03-20,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0035,-1183000.0,400378244.0
2026-03-20,PAGO SERVICIOS INTEGRALES DEL ORI,CE-0036,-829000.0,399549244.0
2026-03-20,GMF 4X1000,GMF,-17652.0,399531592.0
2026-03-20,GMF 4X1000,GMF,-3520.0,399528072.0
2026-03-20,GMF 4X1000,GMF,-4732.0,399523340.0
2026-03-20,GMF 4X1000,GMF,-3316.0,399520024.0
2026-03-20,CONSIGNACION COMERCIAL YOPAL SAS,RC-0070,8859000.0,408379024.0
2026-03-23,CONSIGNACION COMERCIAL YOPAL SAS,RC-0071,4920000.0,413299024.0
2026-03-24,PAGO EMPAQUES Y PLASTICOS LTDA,CE-0026,-2148000.0,411151024.0
2026-03-24,GMF 4X1000,GMF,-8592.0,411142432.0
2026-03-24,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0073,2100000.0,413242432.0
2026-03-26,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0072,2254000.0,415496432.0
2026-03-27,PAGO LOGISTICA ANDINA S.A.S.,CE-0027,-6093000.0,409403432.0
2026-03-27,GMF 4X1000,GMF,-24372.0,409379060.0
2026-03-27,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0074,2377000.0,411756060.0
2026-03-28,COMISION MANEJO CUENTA,COM,-35000.0,411721060.0
2026-03-28,RENDIMIENTOS FINANCIEROS,REND,157000.0,411878060.0
2026-03-30,CONSIGNACION TIENDAS LA ESQUINA S.A.S.,RC-0075,1149000.0,413027060.0
2026-03-30,CONSIGNACION SUPERMERCADOS DEL LLANO S.A.,RC-0076,7135000.0,420162060.0
